timestamp,token_count,trial_number,accuracy,tops_used,parameter_efficiency,parameter_efficiency_loss,parameter_perplexity,epochs,power_samples,watts_rms
2025-11-13T05:23:23.000968,500000,41,0.2274,,5.6394265464923415e-11,0.9887211469,3.99727872333e-09,3,39,166.56434883682613
2025-11-13T06:02:07.621463,500000,42,0.2397,,5.969529641794637e-11,0.9880609407,3.79256045523e-09,3,39,165.86488667463573
2025-11-13T06:40:51.598112,500000,43,0.2324,,5.7750039738369944e-11,0.9884499921,3.91155522119e-09,3,39,166.230370035004
2025-11-13T07:19:35.669865,500000,44,0.2208,,5.4783843666947365e-11,0.9890432313,4.11672801476e-09,3,39,166.48423123450337
2025-11-13T07:58:18.507413,500000,45,0.2401,,5.951192769957794e-11,0.9880976145,3.78537895293e-09,3,39,166.65359144529523
2025-11-13T08:37:02.445223,500000,46,0.2371,,5.906001809718823e-11,0.9881879964,3.83474041811e-09,3,39,165.8305394841063
2025-11-13T09:15:45.148827,500000,47,0.2267,,5.662406112627904e-11,0.9886751878,4.00927819553e-09,3,39,165.37773566999076
2025-11-13T09:54:28.813870,500000,48,0.2299,,5.72232753386108e-11,0.9885553449,3.9545533299e-09,3,39,165.95593723141988
2025-11-13T10:33:12.762839,500000,49,0.2323,,5.8053499121097374e-11,0.9883893002,3.91282789249e-09,3,39,165.29029073390075
2025-11-13T11:11:55.969271,500000,50,0.233,,5.805377257667563e-11,0.9883892455,3.9007375152e-09,3,39,165.78758644715944
