timestamp,token_count,trial_number,accuracy,tops_used,parameter_efficiency,parameter_efficiency_loss,parameter_perplexity,epochs,power_samples,watts_rms
2025-11-15T17:06:59.722401,1000000,1,0.2248,,2.6193391192091192e-11,0.9947613218,4.04336760518e-09,3,76,177.25607052603007
2025-11-15T18:22:24.777715,1000000,2,0.2279,,2.6620411803557603e-11,0.9946759176,3.98873364465e-09,3,76,176.81784586504628
2025-11-15T19:37:48.857824,1000000,3,0.2284,,2.679652325632563e-11,0.9946406953,3.97927951504e-09,3,76,176.04114699952365
2025-11-15T20:53:14.591922,1000000,4,0.2312,,2.7299759089223742e-11,0.9945400482,3.93146343643e-09,3,76,174.91439604365272
2025-11-15T22:08:39.561973,1000000,5,0.2391,,2.8281305413665588e-11,0.9943437389,3.80156005938e-09,3,76,174.61303618264316
2025-11-15T23:24:04.841654,1000000,6,0.2382,,2.8147164835501237e-11,0.994370567,3.81592306398e-09,3,76,174.78479132606114
2025-11-16T00:39:31.269880,1000000,7,0.2186,,2.5803829321778765e-11,0.9948392341,4.15845345217e-09,3,76,174.96957489491678
2025-11-16T01:54:58.234167,1000000,8,0.2211,,2.6013513084870878e-11,0.9947972974,4.11218276014e-09,3,76,175.54411527121968
2025-11-16T03:10:23.443378,1000000,9,0.2249,,2.6468478645040932e-11,0.9947063043,4.04264036444e-09,3,76,175.49187554196587
2025-11-16T04:25:51.112993,1000000,10,0.2273,,2.6740957722535124e-11,0.9946518085,3.99982406592e-09,3,76,175.55735055040083
2025-11-16T05:41:15.337196,1000000,11,0.233,,2.7372599073375172e-11,0.9945254802,3.90101023047e-09,3,76,175.80710574541334
2025-11-16T06:56:42.761066,1000000,12,0.2182,,2.561581647444702e-11,0.9948768367,4.1665440054e-09,3,76,175.9312882644289
2025-11-16T08:12:08.452480,1000000,13,0.2165,,2.541479010304652e-11,0.994917042,4.19845169283e-09,3,76,175.94134719480718
2025-11-16T09:27:33.627972,1000000,14,0.2236,,2.6284094025314725e-11,0.9947431812,4.06509392227e-09,3,76,175.7014423863899
2025-11-16T10:42:59.879596,1000000,15,0.2153,,2.5307365305161128e-11,0.9949385269,4.22135977612e-09,3,76,175.7088496328964
2025-11-16T11:58:25.471448,1000000,16,0.227,,2.690649959870529e-11,0.9946187001,4.00509656128e-09,3,76,174.24695399901316
2025-11-16T13:13:49.791439,1000000,17,0.231,,2.7392731589313507e-11,0.9945214537,3.93491782994e-09,3,76,174.16993008798983
2025-11-16T14:29:15.155690,1000000,18,0.2299,,2.7393133726600062e-11,0.9945213733,3.95409880444e-09,3,76,173.33800479076163
2025-11-16T15:44:40.645576,1000000,19,0.2438,,2.8979103608288078e-11,0.9942041793,3.72838145999e-09,3,76,173.75819374636694
2025-11-16T17:00:05.366288,1000000,20,0.2278,,2.705359935722358e-11,0.9945892801,3.99055174649e-09,3,76,173.91026034359305
2025-11-16T18:15:30.613426,1000000,21,0.2202,,2.621613566932384e-11,0.9947567729,4.12781843603e-09,3,76,173.47830830789312
2025-11-16T19:30:52.672567,1000000,22,0.2325,,2.7649132217471266e-11,0.9944701736,3.90928259388e-09,3,76,173.67527355118503
2025-11-16T20:46:18.716172,1000000,23,0.2268,,2.7035418817958992e-11,0.9945929162,4.00836914461e-09,3,76,173.26326261087718
2025-11-16T22:01:44.363543,1000000,24,0.2302,,2.7450161716635658e-11,0.9945099677,3.94937173963e-09,3,76,173.20361480247675
2025-11-16T23:17:09.362975,1000000,25,0.2387,,2.84771092992619e-11,0.9943045781,3.80819613113e-09,3,76,173.1223172577625
2025-11-17T00:32:31.680186,1000000,26,0.2333,,2.7767778756015154e-11,0.9944464442,3.89619226058e-09,3,76,173.52823044494883
2025-11-17T01:47:56.226125,1000000,27,0.2265,,2.6929294720154415e-11,0.9946141411,4.0131871145e-09,3,76,173.71597837842577
2025-11-17T03:03:24.219286,1000000,28,0.225,,2.6771722291958855e-11,0.9946456555,4.04018592695e-09,3,76,173.5812239937955
2025-11-17T04:18:51.406694,1000000,29,0.2387,,2.839593184918877e-11,0.9943208136,3.80837794131e-09,3,76,173.61723421771208
2025-11-17T05:34:15.333605,1000000,30,0.229,,2.7260323010465935e-11,0.9945479354,3.97027991089e-09,3,76,173.50061736334118
2025-11-17T06:49:39.330162,1000000,31,0.2352,,2.801087205165993e-11,0.9943978256,3.86428457314e-09,3,76,173.42321268147225
2025-11-17T08:05:04.145247,1000000,32,0.2249,,2.679418649361723e-11,0.9946411627,4.04254945935e-09,3,76,173.3586112520047
2025-11-17T09:20:28.536981,1000000,33,0.2352,,2.8033263003977193e-11,0.9943933474,3.86510271897e-09,3,76,173.28469470426404
2025-11-17T10:35:53.515011,1000000,34,0.2129,,2.537555888035408e-11,0.9949248882,4.26999400055e-09,3,76,173.28325011299762
2025-11-17T11:51:16.315981,1000000,35,0.2432,,2.892258716706277e-11,0.9942154826,3.73719925396e-09,3,76,173.66926714247006
2025-11-17T13:06:42.550490,1000000,36,0.2262,,2.6914589398561924e-11,0.9946170821,4.01945956588e-09,3,76,173.58067845923526
2025-11-17T14:22:08.616138,1000000,37,0.2226,,2.6549903241040486e-11,0.9946900194,4.08372946621e-09,3,76,173.16445763785694
2025-11-17T15:37:33.296557,1000000,38,0.2242,,2.6706087263999873e-11,0.9946587825,4.05427621627e-09,3,76,173.38913665972635
2025-11-17T16:52:58.900257,1000000,39,0.2278,,2.7164681502362497e-11,0.9945670637,3.99018812613e-09,3,76,173.19910439726053
2025-11-17T18:08:23.928872,1000000,40,0.219,,2.6137711515909452e-11,0.9947724577,4.1509083295e-09,3,76,173.05059393349921
2025-11-17T19:23:48.222778,1000000,41,0.2437,,2.906512752919086e-11,0.9941869745,3.72983594147e-09,3,76,173.17286258628673
2025-11-17T20:39:11.913430,1000000,42,0.2366,,2.8207150413412622e-11,0.9943585699,3.84174011022e-09,3,76,173.24155192499742
2025-11-17T21:54:37.927434,1000000,43,0.2314,,2.756639011004774e-11,0.994486722,3.92837266329e-09,3,76,173.37241407193815
2025-11-17T23:10:01.911453,1000000,44,0.22,,2.6261295052668557e-11,0.994747741,4.13136373463e-09,3,76,173.0226986054066
2025-11-18T00:25:28.402770,1000000,45,0.2256,,2.6954602712982744e-11,0.9946090795,4.02900460058e-09,3,76,172.86326033708963
2025-11-18T01:40:52.648160,1000000,46,0.2194,,2.6108401194695167e-11,0.9947783198,4.14299958646e-09,3,76,173.5612963389455
2025-11-18T02:56:17.522762,1000000,47,0.2424,,2.888215004939819e-11,0.99422357,3.74947144143e-09,3,76,173.34033647111988
2025-11-18T04:11:44.199590,1000000,48,0.2375,,2.8290283513115484e-11,0.9943419433,3.82710439035e-09,3,76,173.38952379260493
2025-11-18T05:27:09.769651,1000000,49,0.2222,,2.6481709037460447e-11,0.9947036582,4.09163820925e-09,3,76,173.29841264332853
2025-11-18T06:42:34.324390,1000000,50,0.2206,,2.6321172714922717e-11,0.9947357655,4.12036421845e-09,3,76,173.09989833771223
