timestamp,token_count,trial_number,accuracy,tops_used,parameter_efficiency,parameter_efficiency_loss,parameter_perplexity,epochs,power_samples,watts_rms
2025-11-15T17:06:59.722401,1000000,1,0.2248,,2.6193391192091192e-11,0.9947613218,4.04336760518e-09,3,76,177.25607052603007
2025-11-15T18:22:24.777715,1000000,2,0.2279,,2.6620411803557603e-11,0.9946759176,3.98873364465e-09,3,76,176.81784586504628
2025-11-15T19:37:48.857824,1000000,3,0.2284,,2.679652325632563e-11,0.9946406953,3.97927951504e-09,3,76,176.04114699952365
